
air_quality,air_quality_raw,comfort,humidity,light,light_digital,light_raw,noise,noise_db,temperature,timestamp,people,occupancy_status
bom,111,bom,34.0,bom,0,151,baixo,32.1926,22.1,2026-05-16 11:39:09,0,
bom,135,bom,34.0,bom,0,149,baixo,32.82731,22.1,2026-05-16 11:39:39,0,
bom,86,bom,34.0,bom,0,66,baixo,33.14026,22.2,2026-05-16 11:40:09,0,
bom,117,bom,34.0,bom,0,145,baixo,32.93507,22.1,2026-05-16 11:40:39,0,
bom,145,bom,34.0,bom,0,153,baixo,31.52831,22.1,2026-05-16 11:41:09,0,
bom,123,bom,34.0,bom,0,143,baixo,30.68686,22.1,2026-05-16 11:41:39,0,
bom,167,bom,34.0,bom,0,151,baixo,32.19566,22.1,2026-05-16 11:42:10,0,
bom,160,bom,34.0,bom,0,153,baixo,30.38635,22.1,2026-05-16 11:42:40,0,
bom,115,bom,34.0,bom,0,153,moderado,41.07407,22.2,2026-05-16 11:43:10,0,
bom,136,bom,34.0,bom,0,156,baixo,34.09367,22.2,2026-05-16 11:43:40,0,
bom,125,bom,34.0,bom,0,149,moderado,35.2907,22.3,2026-05-16 11:44:10,0,
bom,115,bom,34.0,bom,0,139,baixo,31.50824,22.3,2026-05-16 11:44:40,0,
bom,94,bom,34.0,bom,0,149,baixo,34.20994,22.2,2026-05-16 11:45:10,0,
bom,125,bom,34.0,bom,0,397,baixo,31.0293,22.2,2026-05-16 11:45:40,0,
bom,102,bom,34.0,bom,0,145,moderado,36.52468,22.2,2026-05-16 11:46:10,0,
bom,118,bom,34.0,bom,0,145,baixo,33.59408,22.2,2026-05-16 11:46:40,0,
bom,133,bom,34.0,bom,0,149,baixo,30.11044,22.2,2026-05-16 11:47:10,0,
bom,107,bom,34.0,bom,0,151,baixo,32.80859,22.2,2026-05-16 11:47:40,0,
bom,151,bom,34.0,bom,0,152,baixo,31.00245,22.2,2026-05-16 11:48:10,0,
bom,100,bom,34.0,bom,0,151,baixo,32.60094,22.1,2026-05-16 11:48:40,0,
bom,157,bom,34.0,bom,0,229,baixo,29.7778,22.2,2026-05-16 11:49:10,0,
bom,94,bom,34.0,bom,0,152,moderado,37.09258,22.1,2026-05-16 11:49:40,0,
bom,138,bom,34.0,bom,0,125,baixo,33.0979,22.1,2026-05-16 11:50:10,0,
bom,108,bom,34.0,bom,0,149,baixo,32.7332,22.1,2026-05-16 11:50:40,0,
bom,83,bom,34.0,bom,0,139,baixo,31.8434,22.0,2026-05-16 11:51:10,0,
bom,158,bom,34.0,bom,0,151,moderado,35.1006,22.0,2026-05-16 11:51:40,0,
bom,133,bom,34.0,bom,0,123,baixo,31.02614,22.1,2026-05-16 11:52:10,0,
